title,addr1,mapx,mapy,contenttypeid
강릉커피거리,강원특별자치도 강릉시 창해로14번길 20-1,128.9473504054,37.7726505813,12
강릉항,강원특별자치도 강릉시 창해로14번길 55-11,128.9517472703,37.7714035891,12
강릉향교,강원특별자치도 강릉시 명륜로 29,128.8952470467,37.7635561721,12
강문솟대다리,강원특별자치도 강릉시 강문동 248-4,128.9167801561,37.7978304040,12
강문해변,강원특별자치도 강릉시 창해로 352,128.9190439335,37.7948530151,12
강변공원,경상북도 김천시 강변공원길 169,128.0905362439,36.1289257958,12
강변스파랜드,서울특별시 광진구 구의강변로 45 (구의동),127.0913227521,37.5349377239,12
강변저류지,강원특별자치도 영월군 영월읍 방절리 263-4,128.4483742907,37.1802648936,12
강상체육공원,경기도 양평군 강상면 양평대교길 79,127.4859661494,37.4832897707,12
강서습지생태공원,서울특별시 강서구 양천로27길 279-23,126.8171490732,37.5860879769,12
강서역사문화거리,서울특별시 강서구 양천로 291 (마곡동),126.8366643489,37.5722343802,12
강서체육공원,부산광역시 강서구 체육공원로 43 (대저1동),128.9738950093,35.2078571105,12
강서한강공원,서울특별시 강서구 양천로27길 279-23 (방화동),126.8171601831,37.5860935311,12
강선대,충청북도 영동군 양산면 봉곡리 756-1,127.6957322633,36.1352096262,12
강성서원,전라남도 장흥군 유치면 유치로 70,126.8342346678,34.8015290538,12
강씨봉,경기도 포천시 일동면 사직리,127.3824086593,37.9691869397,12
강씨봉 자연휴양림,경기도 가평군 북면 논남기길 520,127.4083868175,37.9700067673,12
강아지숲,강원특별자치도 춘천시 남산면 충효로 437,127.6620400154,37.7364886333,12
강양항,울산광역시 울주군 온산읍 강양길 123,129.3465491622,35.3907407526,12
강양향교,경상남도 합천군 합천읍 충효로1길 5-14,128.1612398605,35.5636856061,12
강영천효자문,경기도 가평군 북면 논남기길 402-19,127.4214078804,37.9689765715,12
강원 경찰충혼탑,강원특별자치도 춘천시 서면 신매리,127.7130161606,37.9167408445,12
강원 영월 김삿갓면 [슬로시티],강원특별자치도 영월군 김삿갓면 옥동장터길 36,128.5701372137,37.1256818109,12
강원숲체험장,강원특별자치도 춘천시 서면 납실길 107-64,127.6397214646,37.9630563077,12
강원특별자치도 탄광문화촌,강원특별자치도 영월군 북면 밤재로 351,128.4669118411,37.2631362582,12
강원특별자치도립화목원,강원특별자치도 춘천시 화목원길 24,127.7254731639,37.9233347533,12
강재구공원,강원특별자치도 홍천군 북방면 성동로 275,127.8684353966,37.7284628517,12
강정고령보,대구광역시 달성군 다사읍 강정본길 57,128.4650416326,35.8411597415,12
강정천,제주특별자치도 서귀포시 강정동,126.4747384130,33.2566620021,12
강정포구,제주특별자치도 서귀포시 말질로 291,126.4750196034,33.2271624839,12
강주 해바라기 마을,경상남도 함안군 법수면 강주4길 37,128.3331507132,35.3213521361,12
강주연못,경상남도 진주시 정촌면 예하리,128.0949048870,35.1135323581,12
강진 갯들소리마을,전라남도 강진군 신전면 논정길 10-3,126.7458720283,34.4985032699,12
강진 고려청자 요지,전라남도 강진군 대구면 사당리,126.8017668880,34.5081420024,12
강진 백련사 동백나무 숲,전라남도 강진군 도암면 백련사길 145,126.7486001914,34.5876738723,12
강진 백사어촌체험마을,전라남도 강진군 대구면 청자해안길 253,126.7939012802,34.4928741381,12
강진 백운동별서정원,전라남도 강진군 성전면 월하안운길 100-63,126.6998840655,34.7420918349,12
강진 병영마을 옛 담장,전라남도 강진군 병영면 동삼인길 20,126.8181743133,34.7148996334,12
강진 삼인리 비자나무,전라남도 강진군 병영면 동삼인길 28-10,126.8191381191,34.7148441009,12
강진 서중어촌체험마을,전라남도 강진군 마량면 까막섬로 75-7,126.8076232442,34.4536620901,12
강진 오감통,전라남도 강진군 강진읍 오감길 2,126.7735884140,34.6391324006,12
강진 월남사지 삼층석탑,전라남도 강진군 성전면 월남1길 100,126.7113274801,34.7429808133,12
강진 월남사지 진각국사비,전라남도 강진군 성전면 월남1길 106-1,126.7107358718,34.7427086120,12
강진 전라병영성,전라남도 강진군 병영면 병영성로 175,126.8171492797,34.7199712691,12
강진다원,전라남도 강진군 성전면 백운로 93-25,126.7061613195,34.7409031836,12
강진마도진만호성지,전라남도 강진군 마량면 마량리,126.8157780917,34.4533428163,12
강진만,전라남도 강진군 신전면 벌정리,126.7701508920,34.5952233820,12
강진영랑생가,전라남도 강진군 강진읍 영랑생가길 15,126.7652918469,34.6421930307,12
강진향교,전라남도 강진군 강진읍 향교로 140,126.7714883256,34.6503616614,12
